"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11235","EC-128: Check whether user is able to see Scope field or not (Qase ID: 128)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-128.spec.js","",""
"","9385","EC-581: Check whether disabled fields (EHR System, Connection Type, EHR Launch URL, OAuth Callback URL) cannot be edited (Qase ID: 581)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-581.spec.js","",""
"","3701","EC-80: Check whether the user is able to Log In using Username email (Qase ID: 80)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-80.spec.js","",""
"","11312","EC-138: Check whether user is able to click on Save/Submit button or not (Qase ID: 138)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-138.spec.js","",""
"","2820","EC-81: Check whether the user is able to Log In without entering Password (Qase ID: 81)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-81.spec.js","",""
"","4958","EC-254: Check whether user is able to see Dashboard page UI properly or not (Qase ID: 254)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-254.spec.js","",""
"","7929","EC-551: Check whether user is able to select EHR system Epic (Qase ID: 551)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-551.spec.js","",""
"","10071","EC-577: Check whether the OAuth Callback URL is auto-generated after required fields are filled (Qase ID: 577)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-577.spec.js","",""
"","11564","EC-553: Check whether Add Epic Integration page loads successfully (Qase ID: 553)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-553.spec.js","",""
"","9490","EC-559: Check whether the Connection Name field accepts valid alphanumeric input (Qase ID: 559)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-559.spec.js","",""
"","1873","EC-79: Check whether the user can enter characters more than specified range in Username field (Qase ID: 79)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-79.spec.js","",""
"","11002","EC-580: Check whether a success message or notification is displayed after successful submission (Qase ID: 580)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-580.spec.js","",""
"","1663","EC-89: Check whether user can enter password starting with space in Password field (Qase ID: 89)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-89.spec.js","",""
"","9383","EC-115: Check whether user is able to enter Connection Name or not (Qase ID: 115)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-115.spec.js","",""
"","4802","EC-260: Check whether user is able to see View Connections button or not (Qase ID: 260)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-260.spec.js","",""
"","9753","EC-577: Check whether the OAuth Callback URL is auto-generated after required fields are filled (Qase ID: 577)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-577.spec.js","",""
"","11077","EC-552: Check whether user is able to select SMART on FHIR Embed integration type (Qase ID: 552)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-552.spec.js","",""
"","9484","EC-568: Check whether the Client Secret value is masked when entered (Qase ID: 568)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-568.spec.js","",""
"","10452","EC-563: Check whether the Client ID field is marked as mandatory (Qase ID: 563)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-563.spec.js","",""
"","4774","EC-265: Check whether user is able to see License Remaining count on dashboard (Qase ID: 265)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-265.spec.js","",""
"","10152","EC-574: Check whether the EHR Launch URL indicates that it will be generated automatically (Qase ID: 574)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-574.spec.js","",""
"","1836","EC-83: Check whether the data in password field is visible as asterisk or bullet signs (Qase ID: 83)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-83.spec.js","",""
"","9767","EC-576: Check whether the OAuth Callback URL field is read-only (Qase ID: 576)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-576.spec.js","",""
"","2761","EC-77: Check whether the user is able to Log In without entering Username (Qase ID: 77)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-77.spec.js","",""
"","2998","EC-92: Check whether user is able to Sign In by keeping both fields blank (Qase ID: 92)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-92.spec.js","",""
"","9858","EC-563: Check whether the Client ID field is marked as mandatory (Qase ID: 563)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-563.spec.js","",""
"","1697","EC-84: Check whether user can enter characters more than specified range in Password field (Qase ID: 84)","chromium","2026-01-27","passed","2026-01-27","","LoginTests/EC-84.spec.js","",""
"","9810","EC-570: Check whether the Embedded App URL field is displayed (Qase ID: 570)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-570.spec.js","",""
"","9762","EC-562: Check whether the Client ID field is displayed (Qase ID: 562)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-562.spec.js","",""
"","10056","EC-575: Check whether the OAuth Callback URL field is displayed (Qase ID: 575)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-575.spec.js","",""
"","10072","EC-572: Check whether a validation error is displayed for an invalid Embedded App URL (Qase ID: 572)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-572.spec.js","",""
"","10012","EC-562: Check whether the Client ID field is displayed (Qase ID: 562)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-562.spec.js","",""
"","9401","EC-121: Check whether user is able to enter Base URL or not (Qase ID: 121)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-121.spec.js","",""
"","11032","EC-580: Check whether a success message or notification is displayed after successful submission (Qase ID: 580)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-580.spec.js","",""
"","9900","EC-573: Check whether the EHR Launch URL field is displayed as read-only (Qase ID: 573)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-573.spec.js","",""
"","10308","EC-555: Check whether the EMBED badge is displayed for OAuth Configuration (Qase ID: 555)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-555.spec.js","",""
"","9212","EC-125: Check whether user is able to enter Client Secret or not (Qase ID: 125)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-125.spec.js","",""
"","11908","EC-126: Check whether user is able to see Token URL field or not (Qase ID: 126)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-126.spec.js","",""
"","9262","EC-137: Check whether user is able to see Save/Submit button or not (Qase ID: 137)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-137.spec.js","",""
"","11344","EC-122: Check whether user is able to see Client ID field or not (Qase ID: 122)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-122.spec.js","",""
"","9884","EC-572: Check whether a validation error is displayed for an invalid Embedded App URL (Qase ID: 572)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-572.spec.js","",""
"","9762","EC-557: Check whether the Connection Type field is displayed as read-only with value Embed (Qase ID: 557)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-557.spec.js","",""
"","10092","EC-557: Check whether the Connection Type field is displayed as read-only with value Embed (Qase ID: 557)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-557.spec.js","",""
"","9962","EC-571: Check whether the Embedded App URL field accepts a valid URL format (Qase ID: 571)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-571.spec.js","",""
"","9686","EC-578: Check whether the warning message to register the callback URL with Epic is displayed (Qase ID: 578)","chromium","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-578.spec.js","",""
"","9975","EC-131: Check whether user is able to enter Private Key or not (Qase ID: 131)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-131.spec.js","",""
"","10169","EC-581: Check whether disabled fields (EHR System, Connection Type, EHR Launch URL, OAuth Callback URL) cannot be edited (Qase ID: 581)","firefox","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-581.spec.js","",""
"","11124","EC-579: Check whether the form is successfully submitted when all mandatory fields are filled with valid data (Qase ID: 579)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-579.spec.js","",""
"","9358","EC-113: Check whether user is able to see Add Standalone Connection form/modal or not (Qase ID: 113)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-113.spec.js","",""
"","9764","EC-564: Check whether a validation message is displayed when Client ID is left empty (Qase ID: 564)","webkit","2026-01-27","passed","2026-01-27","","AddEpicEmbedConnectionTests/EC-564.spec.js","",""
"","9201","EC-133: Check whether user is able to enter Key ID or not (Qase ID: 133)","chromium","2026-01-27","passed","2026-01-27","","AddStandaloneConnectionTests/EC-133.spec.js","",""
"","4763","EC-255: Check whether user is able to see Workflows option or not (Qase ID: 255)","chromium","2026-01-27","passed","2026-01-27","","DashboardTests/EC-255.spec.js","",""
